"database_id","scientificName","decimalLatitude","decimalLongitude","occurrenceID","verbatimEventDate","country","stateProvince","county","locality","coordinatePrecision","basisOfRecord","identifiedBy","coordinateUncertaintyInMeters","recordedBy"
"AT_EPIPHYTES_1","Tillandsia tenuifolia","-25.521863","-51.416667","E8802","2003","Brazil","PARANA","GUARAPUAVA","Rio Sao Jeronimo","Forest fragment","","","",""
"AT_EPIPHYTES_2","Peperomia obtusifolia","-14.65972","-39.14972","635992","2015","Brazil","BAHIA","ILHEUS","","Coordinates given in the herbarium record","","","",""
"AT_EPIPHYTES_3","Tillandsia recurvata","-21.746667","-43.354722","E1617","2016","Brazil","MATO GROSSO DO SUL","JUIZ DE FORA","Praca Mariano Procopio","50","","","",""
"AT_EPIPHYTES_4","Vriesea flammea","-23.35","-44.858333","E0272","2011","Brazil","SAO PAULO","UBATUBA","Parque Estadual da Serra do Mar-Nucleo Picinguaba","Forest fragment","","","",""
"AT_EPIPHYTES_5","Lankesterella ceracifolia","-28.1667","-49.4","17541","2009","Brazil","SANTA CATARINA","ORLEANS","Rio Minador","Municipality","","","",""
"AT_EPIPHYTES_6","Vriesea psittacina","-15.133333","-38.333333","E32704","","Brazil","BAHIA","UNA","Serra Javi. 9Km ao S Sao Jose -Km 550-; 5.5Km a E BR-101, p/ Faz. Cascavel.","Coordinates given in the herbarium record","","","",""
"AT_EPIPHYTES_7","Nidularium innocentii","-26.1833","-49.0333","20521","2009","Brazil","SANTA CATARINA","JOINVILLE","Serra Dona Francisca","Municipality","","","",""
"AT_EPIPHYTES_8","Acianthera serpentula","-25.5839","-49.6356","E23503","","Brazil","PARANA","BALSA NOVA","Base da Serra de Sao Luiz do Puruna","Coordinates given in the herbarium record","","","",""
"AT_EPIPHYTES_9","Peperomia quadrifolia","-26.46","-49.41","E18657","","Brazil","SANTA CATARINA","CORUPA","Palmeiras II","Coordinates given in the herbarium record","","","",""
"AT_EPIPHYTES_10","Peperomia circinnata","-23.7869","-54.2836","E16998","","Brazil","MATO GROSSO DO SUL","ELDORADO","","Coordinates given in the herbarium record","","","",""
"AT_EPIPHYTES_11","Microgramma squamulosa","-25.666271","-49.269229","E7552","2017","Brazil","PARANA","FAZENDA RIO GRANDE","Fazenda Experimental Gralha Azul 2","Forest fragment","","","",""
"AT_EPIPHYTES_12","Vriesea gigantea","-29.6411","-50.4525","E0829","","Brazil","RIO GRANDE DO SUL","RIOZINHO","","Municipality","","","",""
"AT_EPIPHYTES_13","Aechmea leptantha","-8.0022","-35.0183","E1518","","Brazil","PERNAMBUCO","SAO LOURENCO DA MATA","Sao Bento","Coordinates given in the herbarium record","","","",""
"AT_EPIPHYTES_14","Vriesea tijucana","-15.158634","-39.057151","359","2000","Brazil","BAHIA","UNA","Reserva Biologica de Una","20","","","",""
"AT_EPIPHYTES_15","Rhodospatha oblongata","-14.49","-39.1","E25916","","Brazil","BAHIA","URUCUCA","Mun>. Urucuca, 9.4 KM. Serra do Conduru vertente E.","Coordinates given in the herbarium record","","","",""
