city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bogotá,4.7111,-74.0722,Colombia,CO,Bogotá,primary,7968095,7743955
Timbío,2.3445,-76.6839,Colombia,CO,Cauca,minor,4444444,4444444
Medellín,6.2308,-75.5906,Colombia,CO,Antioquia,admin,2529403,2529403
Cali,3.4206,-76.5222,Colombia,CO,Valle del Cauca,admin,2471474,2471474
Barranquilla,10.9833,-74.8019,Colombia,CO,Atlántico,admin,1326588,1274250
Cartagena,10.4000,-75.5000,Colombia,CO,Bolívar,admin,1036412,1036412
Bucaramanga,7.1333,-73.0000,Colombia,CO,Santander,admin,870752,581130
Palermo,2.8917,-75.4375,Colombia,CO,Huila,minor,800000,800000
Cúcuta,7.8942,-72.5039,Colombia,CO,Norte de Santander,admin,750000,750000
Soledad,10.9167,-74.7500,Colombia,CO,Atlántico,minor,698852,455796
Villavicencio,4.1500,-73.6333,Colombia,CO,Meta,admin,664148,664148
Pereira,4.8143,-75.6946,Colombia,CO,Risaralda,admin,590554,590554
Valledupar,10.4833,-73.2500,Colombia,CO,Cesar,admin,544134,544134
Ibagué,4.4333,-75.2333,Colombia,CO,Tolima,admin,541101,541101
Soacha,4.5872,-74.2214,Colombia,CO,Cundinamarca,minor,522442,522442
Santa Marta,11.2419,-74.2053,Colombia,CO,Magdalena,admin,515556,515556
Montería,8.7500,-75.8833,Colombia,CO,Córdoba,admin,505334,505334
Bello,6.3333,-75.5667,Colombia,CO,Antioquia,minor,495483,371591
Manizales,5.1000,-75.5500,Colombia,CO,Caldas,admin,434403,434403
Buenaventura,3.8772,-77.0267,Colombia,CO,Valle del Cauca,minor,423927,423927
Pasto,1.2078,-77.2772,Colombia,CO,Nariño,admin,392930,392930
Neiva,2.9345,-75.2809,Colombia,CO,Huila,admin,353033,353033
Palmira,3.5833,-76.2500,Colombia,CO,Valle del Cauca,minor,349294,349294
Zarzal,4.3983,-76.0772,Colombia,CO,Valle del Cauca,minor,312599,312599
Armenia,4.5300,-75.6800,Colombia,CO,Quindío,admin,301226,301226
Popayán,2.4542,-76.6092,Colombia,CO,Cauca,admin,300837,300837
Sincelejo,9.2950,-75.3961,Colombia,CO,Sucre,admin,286716,286716
Itagüí,6.1667,-75.6167,Colombia,CO,Antioquia,minor,276744,276744
Floridablanca,7.2167,-73.0667,Colombia,CO,Santander,minor,267170,267170
Envigado,6.1667,-75.5667,Colombia,CO,Antioquia,minor,228848,228848
Tuluá,4.0833,-76.2000,Colombia,CO,Valle del Cauca,minor,219138,219138
Tumaco,1.8067,-78.7647,Colombia,CO,Nariño,minor,212692,212692
Barrancabermeja,7.0667,-73.8500,Colombia,CO,Santander,minor,210729,210729
Uripa,11.9167,-72.0000,Colombia,CO,La Guajira,,198890,198890
Zipaquirá,5.0333,-74.0000,Colombia,CO,Cundinamarca,minor,196409,196409
Florencia,1.6139,-75.6128,Colombia,CO,Caquetá,admin,191867,191867
Turbo,8.1000,-76.7333,Colombia,CO,Antioquia,minor,181000,181000
